,"(0, 0)","(0, 1)","(0, 2)","(1, 0)","(1, 1)","(1, 2)","(2, 0)","(2, 1)","(2, 2)"
   |   |   ,8.696031264283182,8.83697010041637,8.800595262877186,8.77596456432732,8.904588992814086,8.632339314316269,8.80132029328274,8.793549848862014,8.646788354441968
   | X |   ,7.188365504091302,4.678770396728188,5.602050753627215,5.062637833744302,-3.533779994695866,4.021757504488988,5.100462146811242,4.959037221408958,4.64469253995273
   |XX |  0,-3.5859618408964518,-3.1964235834135253,5.398169336865414,-1.649626899329706,-1.6003513789929837,8.03709262179122,-1.2576722913771712,-2.5807181992274333,-1.5340299645816613
0  |XXX|  0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X  |0  |   ,-1.255792424316845,5.251528250216527,4.714293222633314,-1.1432122062181498,9.484381049920305,5.228035141461456,5.2666578271898015,3.6482624459964095,3.1119142574786247
X  |0  |0X ,-2.9026514828058883,1.335637009709826,3.56669824,-0.5310059267877036,9.077428169502396,1.2312,-1.8950032926598355,-4.880000000000001,0.0
   |   |  X,6.750599449654825,5.516334871823042,6.351925626421484,8.032436003690206,8.342636201404757,4.947553095263641,6.51344091312186,6.364025168299202,-2.269813778969662
X  |   |0 X,-5.862119606993586,-3.1976691712000003,4.597313779294238,-4.026336793444063,7.865020798281641,-0.6482417457156947,-4.5108308830568085,-0.9494701254829345,-4.354221753869418
X0 |X  |0 X,-4.364809458608922,-3.6,-3.3568000000000002,-4.289295209249997,7.812322950306506,0.0,-0.5893201014402818,0.0,-3.5278
X0 |X0 |0XX,-2.3092547143360314,-1.5075807664035596,9.884707849539316,-0.968876394496,-1.7427841964600197,-0.7200000000000001,-2.2810241964600197,-0.4182383037280156,-0.1273818857344125
0X |   |   ,-1.230872471489255,-1.2549381930700143,4.843913163190755,7.90201058956483,9.359937190143901,5.522523717779784,6.148890815071657,3.1631042968183403,6.795944736570018
0X |0  | X ,-6.7232,-5.0586176,-1.6,-1.9278,3.2140070462919805,0.11516800000000038,7.37856,-3.6,-2.25536
X  |   |   ,-2.3993042420286947,6.040867642973345,7.247472716849028,4.973942440002038,7.503767665255088,5.544889005004637,6.774767410278282,6.302409874471002,7.044796077722592
X 0|X  |   ,-3.543336267992913,-2.0389756522940017,-3.613568697460377,-3.4884551566748083,4.493210469778292,-0.3878178012783643,6.070296492627996,-2.9045334252960364,-0.2780180722174084
X 0|X X| 0 ,-2.7898620336398334,-2.0,-4.880000000000001,-2.0,1.6262937814237182,-4.567452599808,-2.0,-3.6,-2.0
   |   |X  ,6.6060308476724385,7.412621752233395,7.217755986202189,5.841983035990313,8.58134623648737,6.1595797004379484,-2.048468867407071,6.439807529637079,7.505966231751189
   |  0|XX ,-0.34389217248065496,-1.4066357432054253,1.8147737088000002,-0.32206617696062123,1.1388840348359088,-3.1071975504017253,-3.1798337762618614,-3.5564957353305466,8.403392822380404
   |X00|XX ,-2.072315487968764,-3.6,-3.6,-3.9800000000000004,-2.0,-2.0,-4.897174928392582,-3.6,-2.0
 0 | X |  X,5.99507752849851,-2.941782847146121,3.8657786365909015,-2.839828611175984,-2.594841325904695,-0.9044896222439016,-4.8226303999999995,-1.6994304,-2.3854098651805367
 0 | X |0XX,8.79354693631499,-1.87004,1.6449863168,-0.9159999999999999,-2.016973487863541,0.0,-1.3697885813274038,-2.0,-3.0369905651077973
  X|   |   ,5.12482907393427,6.542614693873312,-2.334201556053657,7.257400969230504,7.632897541659341,5.036246883888002,7.221752877752832,7.251980411957392,7.318991657879083
  X|0  |X  ,0.13655189293649683,-2.962930284890161,-3.1672160408633943,-3.068913616348781,7.858985057148262,2.3679249029012603,-3.5171456388036786,-1.7340413337600002,-3.2200351452200957
  X|0X |X 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 0 | X |   ,8.289952705239408,-2.0160208173774503,7.313410984191312,4.01644166119334,-1.718675912826635,4.077860106350754,2.838398267591093,3.565822868427305,2.017940799366594
X0 |X  |   ,-7.307164599176906,-7.329300554027234,-1.8499253759999998,-7.189611475044735,7.828427376999037,-3.9931162624,3.120846683601589,2.0934867858194433,-5.87654222086144
X  |0  |  X,-1.8081416262554653,-1.796260883697664,0.19733629237818173,-3.0061192061446333,7.768411447714383,3.4397963409774883,-1.2110659559872443,0.9800612644003843,-4.299328157396175
XX |0  |0 X,-5.868,-5.6640469994196625,-0.30700656150600025,-6.855459674845812,-3.6,-4.880000000000001,-7.3784,-5.6992,-5.7463999999999995
 XX|0  |   ,9.178364459663886,-2.675568056483419,-2.2634310677444245,-1.931823398333314,4.381365564351418,0.6610868597243658,5.711128535971275,-2.84175869184,-2.4137253990400005
0XX|0  |X  ,-2.2304377001625193,-4.5029701803008,-3.026720448,-3.23317795395584,8.696083634788117,3.2115301438408563,-1.6948877651892702,-1.6,0.4996339200000006
0XX|0 0|XX ,-2.0,-2.0,-3.2199999999999998,-3.6,8.3222784,-2.0,-3.2199999999999998,0.0,-3.6
X  |  0|X  ,-4.369373280166903,-2.02179628744704,4.514241914844758,3.2497720486992336,1.6049933892984876,-4.610109855784228,-4.722691816121526,-5.31437195264,-5.075533478565965
   | X | 0 ,1.8490029245154278,3.049918219856907,1.6298465364052788,2.074442455162544,-1.7084800393467405,1.1558657800005343,9.34794248703824,-1.7064799331803446,4.598111219752426
0  | X | 0X,-2.0,6.110083358412636,1.6689600000000002,1.12176,-2.6165279845652565,0.025992,0.0352336,-2.0,-3.4686537600000005
  X| X |  0,-2.172342157127992,-2.57225210724352,-6.570931173147349,-2.7510968263050453,-5.03481595393185,-2.009655660721031,6.50438278558355,3.929632525522387,-4.3375081462457565
X X| X | 00,-3.920449490382848,-1.948286503368566,-2.7151361260027906,-1.4780736,-3.07403744,-0.9159999999999999,4.880000000000001,-2.1069373584793603,-5.534465758311543
X X|XX0| 00,-3.6,-2.0,-2.0,-3.6,-2.0,-3.6488,3.6,0.0,-3.2199999999999998
   |   |X 0,6.591610213876755,3.0384888744058802,8.11600124533476,5.358209153128708,8.957618850366636,8.390928364584477,-1.4077822999091505,3.6463421224298704,-1.4488226583708408
X 0|   |X 0,-1.9040109465600001,-0.32374400000000003,-1.5105757630464,0.9459495040000001,-2.0,9.952776335171304,-2.2160659997375793,-2.304,-0.547219703808
  0|X  |   ,8.60959307178171,9.164973312629028,-1.0654392092924956,-1.0596641685610586,9.431626701564497,8.328914901964648,7.62772333651917,2.9074508731020594,7.188988071402274
0 0|X  |  X,-1.4254371474774188,9.992077183748574,-1.9041597064714577,-1.5082468826640347,1.4019264,0.014440000000000003,1.3260480000000001,1.12176,-2.2428339181145356
 X |   |   ,7.790265874926319,-1.9173555552939026,8.019428397264235,7.325556237136634,8.13307725970961,7.104686961200011,7.518409589766886,5.247926961267397,8.54042225653925
 X |   | X0,6.2707806108770425,-1.7636775222560692,6.0118918865869375,-2.102616112177847,9.072874461272432,4.004163108187165,-3.4320669834751243,-3.6751997606578923,-2.4680470678927393
 X |  X|0X0,-0.15823999999999994,-4.880000000000001,-2.0,-2.0,6.0407268917215236,-2.0,-1.17731778803712,0.0,-3.6
 X0| XX|0X0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   |  0|  X,2.93288065801469,6.0600646601659545,5.2026356579927375,7.01740162925663,9.227241130068972,-1.8418375387726555,4.553163312922098,2.8159095188270817,-1.7228924822448441
  X|0 0|  X,1.2774079999999999,2.2993344000000002,-1.863208757248,-0.90704560463872,9.774820018631475,0.0,1.277408,0.0,-2.0
0  | X |  X,-3.0196595381140616,8.796476429286582,6.410734201879379,2.201590937506692,-1.6390856466932093,0.295401882023003,3.889760127502625,1.776757812197963,-1.4969888308885497
0 X|0X |  X,-1.8261907406808846,-3.50046550858753,-2.243410297416192,-1.7976811755314757,-1.1735488313485258,1.975586974681783,9.999885820184584,-7.773175337926001,-1.5339962519737238
00X|0X | XX,-0.30401094656000005,-0.5980736000000001,-0.11401952549601901,-0.383547654322082,-0.11401952549601901,-5.904000000000001,9.940970418964131,-0.12190550858753008,-1.166819525496019
00X|0X |0XX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 XX|   |  0,9.114366903722456,-2.3518225506756334,-2.210792742751841,-1.0429379326771202,3.839805649215407,-2.8933683635814402,-2.1828367713313845,2.942382732712828,-3.273671299311411
 XX|  0| X0,-0.5403136000000002,-2.0,-2.0,-1.6,2.128432896,-4.880000000000001,-3.6,0.0,-2.0
 X |   | 0 ,1.9424866633455276,-2.7452603824235853,2.0768049101133244,2.4667678035270026,7.678236669428995,2.565977391639993,8.008758432959954,-2.852700770315775,4.560492593921395
 X0| X | 0 ,0.11370957056000003,-4.3057369938944,-3.2559371172864005,0.0,-4.5188713938944005,0.684,0.0,0.0,2.59611892604928
